date,text
2021-12-30T15:42:00+00:00,Tell us: What are your plans for New Year’s Eve?
2021-12-30T15:31:02+00:00,"Cut to self-isolation period may increase Covid hospital risk, says NHS chief"
2021-12-30T15:23:52+00:00,"‘We’ll get it done. Come hell, high water or Covid’: Can 2022 be a super year for nature?"
2021-12-30T15:20:47+00:00,Julian Fellowes turns Half a Sixpence rewrite Kipps into winning fun
2021-12-30T15:15:12+00:00,How Australia went from Covid-zero to Covid-central in just a few months
2021-12-30T15:15:12+00:00,"Balmy new year weather ideal for outdoor parties, say UK meteorologists"
2021-12-30T15:15:11+00:00,"Omicron havoc for airlines as JetBlue cancels almost 1,300 flights"
2021-12-30T15:08:57+00:00,Elon Musk rejects mounting criticism his satellites are clogging space
2021-12-30T15:02:07+00:00,Chairman of Credit Suisse may have broken the law to attend Wimbledon
2021-12-30T14:52:14+00:00,"Jamshedpur FC's Greg Stewart scores spectacular, bending free-kick in ISL – video"
2021-12-30T14:43:36+00:00,My winter of love: I was on holiday with my boyfriend – and the B&amp;B owner told me a horrifying home truth
2021-12-30T14:30:30+00:00,French border officials in UK turn back British residents of other EU countries
2021-12-30T14:22:25+00:00,Manchester City surge clear and time to put respect on Afcon – Football Weekly
2021-12-30T14:19:59+00:00,Two in three UK drivers unaware of planned Highway Code changes
2021-12-30T14:16:55+00:00,Dining across the divide: ‘I was surprised by her views on eastern European immigration as she seemed so open-minded’
2021-12-30T13:56:56+00:00,London house prices may help explain Tories’ struggle to win young voters
2021-12-30T13:55:50+00:00,Denver shooting suspect wrote books describing similar attacks
2021-12-30T13:54:50+00:00,Three-quarters of those in UK with cold symptoms likely to have Covid – study
2021-12-30T13:50:15+00:00,Southern cancels London Victoria trains for two weeks over Covid
2021-12-30T13:43:55+00:00,"Ghislaine Maxwell more evil than Epstein, says Virginia Giuffre"
2021-12-30T13:22:37+00:00,Record snowfall offers reprieve to dry California – but the drought remains
2021-12-30T13:19:48+00:00,"I used to associate gyms with vanity, until I realised they helped minds as well as bodies | Owen Jones"
2021-12-30T13:15:03+00:00,When did I decide to stop living in denial? While lying on a plane gangway during a panic attack
2021-12-30T13:03:45+00:00,"UK Covid test shortage amid new year parties ‘very worrying’, says scientist"
2021-12-30T12:47:55+00:00,Chelsea announce losses of £145.6m despite Champions League triumph
2021-12-30T12:39:02+00:00,Navy to dismantle sunken warship on Thames holding unstable explosives
2021-12-30T12:23:51+00:00,Fireworks could fizzle out as drones rise in popularity for new year
2021-12-30T12:07:57+00:00,Landmark UK insurance shakeup poised to benefit loyal customers
2021-12-30T12:03:58+00:00,"Now Christmas is over, how bad is the Omicron situation in the UK? | Paul Hunter"
2021-12-30T11:49:22+00:00,‘Patriots’ are undermining American democracy | Michael Harriot
2021-12-30T11:49:22+00:00,"Liverpool bomber killed by ‘murderous’ device he made, coroner rules"
2021-12-30T11:17:07+00:00,Five LAPD killings in nine days: teen’s death caps brutal year of police shootings
2021-12-30T11:03:00+00:00,We’d like to hear what kind of plans people in the UK have made to ring in the new year and how they are hoping to stay Covid-safe
2021-12-30T11:00:01+00:00,"Don't miss the latest episode of  with @gracedent, as her guest Jo Brand shares her motorway snack of choice, and the foods that have seen her through her life.  

Listen wherever you get your podcasts 🎧"
2021-12-30T10:44:44+00:00,Bar Council chair criticises ‘thin-skinned’ Raab for not meeting him
2021-12-30T10:25:38+00:00,The Jack in the Box: Awakening review – gothic toy clown horror springs few surprises
2021-12-30T10:20:24+00:00,Romantic fiction writers creating a more diverse happily ever after
2021-12-30T10:12:00+00:00,We’re interested to hear how a lack of available lateral flow and PCR tests in the UK is affecting people and their plans
