date,text
2021-10-24T12:22:01+00:00,"I don’t deny my body anything, even at 1am when I have the night-time munchies.

A day in the life of the Bollywood-turned-Hollywood actor, model and film producer, who lives in LA with her husband, pop star Nick Jonas, and their three dogs."
2021-10-24T12:10:55+00:00,🔴Colombias most-wanted drug trafficker  Otoniel  has been captured in a major victory for the government of the worlds top cocaine exporter.
2021-10-24T11:50:23+00:00,"From his first job, to his debut album and how his life changed after American Pie. Don McLean reveals his best and worst business decisions. 

Read the full interview 👇"
2021-10-24T11:40:48+00:00,"Despite media coverage about the great urban exodus, some cities are proving popular.

Those to buck the trend are, almost exclusively, small, lively, historic cities with easy access to countryside, coast or both.

So where are house prices rising? 👇"
2021-10-24T11:30:54+00:00,Raducanu is starting to discover that tennis’ veneer of gentility conceals a realm of vicious backbiting
2021-10-24T11:21:02+00:00,"🎃  I know many witches who are fabulous gardeners, herbalists, florists, writers, factory workers or shop owners, and some are simply happy to honour the old ways and stay quiet in the background of their community."
2021-10-24T11:11:23+00:00,Questor share tip: You may think the odds are stacked against it but the company’s intelligent business model is perfectly suited to survive in a disrupted market for new cars. This is because of where it operates and how it operates.
2021-10-24T11:02:00+00:00,"In the spring of 1978, a minor Oregon newspaper carried a major accusation"
2021-10-24T10:51:48+00:00,"John McWhorter is an African-American professor of linguistics at Columbia University, son of an avid civil rights campaigner. An unlikely figure to have shot to fame as a scourge of woke pieties and a committed critic of America’s anti-racist movement."
2021-10-24T10:42:39+00:00,"While the EU has blinked, we need much deeper changes in order to preserve the integrity of the United Kingdom as a nation state and to restore the free flow of trade between the different parts of our country guaranteed ever since the Acts of Union."
2021-10-24T10:33:42+00:00,The chairman of Heal’s has stepped down from the upmarket furniture chain after a failed management buyout bid.
2021-10-24T10:31:12+00:00,The question is what next? How can the Tories now at least start to reform the NHS and other state institutions to justify the amount of taxes they are pouring into them?  | Telegraph View
2021-10-24T10:20:48+00:00,"It is ridiculous, and a source of huge social injustice, that during the last half century, a period of fast population growth, no sizeable additional towns have been created in the UK | Writes @LiamHalligan"
2021-10-24T10:10:45+00:00,"I would show them pictures of my mother, before and after she got osteoporosis. I would make them look at these photographs and say: Look, if you don’t take care, that’s what will happen to you."
2021-10-24T10:01:20+00:00,"🌌 Is it possible that we actually live in a multiverse, of the kind depicted in these superhero films?"
2021-10-24T09:44:31+00:00,💲💲 How one does and doesn’t exit a helicopter says heaps about one’s familiarity with truly expensive knitwear...
2021-10-24T09:35:21+00:00,"🗣️ How do you set about transforming Kristen Stewart, the gruff-voiced, frequently mumbly, famously introverted Californian star best-known to the world as Bella Swan from Twilight, into Diana, Princess of Wales?"
2021-10-24T09:27:21+00:00,"The US satellite company, which uses low orbit small sats to provide internet connectivity in rural locations, is understood to be hunting for spectrum deals in an effort to expand the capacity of its service."
2021-10-24T09:19:51+00:00,"Musicians and composers have never been more keen to involve themselves in the burning issues of the day, and there’s none more burning – literally – than climate change. | Writes @ivanhewett"
2021-10-24T09:12:51+00:00,"We are unlikely to see the Queen strapped to the wing of a plane any time soon but, provided that the current health scare permits, there’s little doubt that she’ll be out and about again being  seen and believed  before too long."
2021-10-24T09:12:50+00:00,"🇬🇧The Queen holds fast to the concept that a monarch must be seen to be believed. 

During the long weeks of lockdown she got a taste of what life would be like in retirement – and it would seem she was unimpressed."
2021-10-24T09:12:50+00:00,"👑Following in the footsteps of her mother, who similarly resisted surrendering to the frailties of old age. 

The Queen Mother relished the bracing fresh air at her remote Castle on the north coast of Scotland. Coughs and colds, she believed, could be blown away by a brisk walk."
2021-10-24T09:12:43+00:00,"👑The Queen is remarkably good at her job, as even Republicans might concede. 

She takes the time to engage with people, genuinely listening to their stories and being interested in their lives. 

When you’re good at your job and you still enjoy it, why give it up?"
2021-10-24T09:12:42+00:00,"Age is merely a number, as the Queen noted herself, when gracefully declining an award for  Oldie of the Year  last week. 

 Her Majesty believes you are only as old as you feel 

But there are other reasons why the Queen is not ready to stop working 👇"
2021-10-24T09:09:56+00:00,"😷 With this particularly nasty cold on the rise, here’s everything you need to know about it, from the reported symptoms to why it’s thought to be spreading."
2021-10-24T09:00:01+00:00,"❌Rarely has the experience of being a child or teenager in Britain changed so much, so fast as it did in the months that followed the first lockdown of March 2020
⁠"
2021-10-24T08:59:47+00:00,"It was the most fun I’ve had in years, right up there with 1992, the year I moved to Manchester and discovered all-night clubbing at the Hacienda. @StaceyDuguid"
2021-10-24T08:49:30+00:00,"Marilyn Stafford’s life reads like a join-the-dots of 20th century history – it has taken her from 1930s Dust Bowl America, via postwar New York, 1950s Paris and Swinging Sixties London, to the West Sussex coast where she lives today."
2021-10-24T08:39:28+00:00,I am a lawyer asking that it stops. It is time to accept that the criminal legal system will not deliver the convictions some want and impose a statute of limitations. | Writes Philip Barden
2021-10-24T08:19:17+00:00,"The Wall Street banking giant Citigroup has introduced miscarriage and menopause leave for its UK staff, in the latest sign of an escalating battle to retain female staff in the male-dominated City of London."
2021-10-24T08:10:49+00:00,"We know there is more to do and we’ll keep making improvements. With new rules for the whole industry we can make the internet safer while keeping the vast social and economic benefits it brings. | Writes Monika Bickert, VP of Content Policy at Facebook"
2021-10-24T08:00:54+00:00,"💤According to a new American study, hitting this  magic number  of eight hours might not be so good for our health – quite the opposite, in fact"
2021-10-24T07:45:32+00:00,"😴 When we change our sleep schedules by an hour or more from one day to the next, we are sending signals to the brain that we are attempting to transition to a new time zone, making the next night’s sleep challenging. 

Can we re-learn how to sleep well?"
2021-10-24T07:37:43+00:00,"Diana went through some tough times as she navigated royal life and her crumbling relationship.

But is this really how we should remember a woman who campaigned for causes close to her, brought joy to people she met and became a style icon like no other?"
2021-10-24T07:32:16+00:00,"🏉 Echoing his long-held desire for a balanced contest around the tackle, Jones also suggested that quicker, cleaner rucks would mean attacking teams are not encouraged to kick as often."
2021-10-24T07:14:11+00:00,"Heres your Sunday morning news briefing:

💰 Sunak to spend billions digitising NHS

💉 Get the booster jab to save Christmas, Britons urged

👑 The Queen to now be joined on visits by other royals in case of health scares"
2021-10-24T07:12:22+00:00,"📻 Within Radio 4, Government hostility is sharpening tensions between BBC modernists and traditionalists fighting for the soul of an institution that is beloved and infuriates in equal measure.

So, what is really going on inside Radio 4?"
2021-10-24T07:01:55+00:00,⚡ Households’ finances have been thrown into disarray as energy firms have increased direct debits without consulting customers – and given them no opportunity to complain.
2021-10-24T06:51:36+00:00,"🔴 The Chancellor is expected to use this week’s Budget to announce an increase of some £5 billion in the health service’s capital budget, which will include funds for a digital overhaul of the NHS

Read the full story 👇"
2021-10-24T05:31:04+00:00,"Rachel Reeves said the move would help to address a cost of living crisis, but a Treasury source said it would be poorly targeted’"
2021-10-24T05:00:50+00:00,The country is at a crunch point once again and vaccines remain our strongest weapon
2021-10-24T02:03:51+00:00,Ex-employee has taken aim at Sir Nick Clegg and warns new encryption plans are an attempt to cover-up harmful online material
2021-10-23T23:12:49+00:00,Rebecca Solnit’s book Orwells Roses digs into the author’s love of gardening and reveals the nurturing roots beneath his dystopian fiction
2021-10-23T22:21:12+00:00,"📈 Modelling used to justify the  feasibility  of the net zero target assumed a dramatic fall in the number of days of calm weather, when many turbines stand still, according to new analysis"
2021-10-23T21:33:27+00:00,🔴 Hundreds of patients have had their face-to-face appointments cancelled or rescheduled in a bid by NHS chiefs to cut traffic during Cop26
2021-10-23T21:23:58+00:00,"📈  The UK’s response to the pandemic has famously tended towards all or nothing from the start  

Read the latest analysis from @PaulNuki 👇"
2021-10-23T21:15:07+00:00,"📸 Pictures of a 30,000-year-old nude statuette have been posted on OnlyFans by some of Viennas top museums after growing tired of online censorship of the arts"
2021-10-23T21:07:02+00:00,"We have to seize the moment, get our booster jab and protect ourselves as we go into what will no doubt be a tough winter  | Writes Stephen Powis"
2021-10-23T21:06:11+00:00,💉 The NHS’s most senior doctor has urged those eligible for Covid-19 booster jabs to  take up the offer  in order to  protect the freedom and Christmas that we have all earned
2021-10-23T21:04:53+00:00,🇺🇸 Joe Bidens popularity has fallen more in his first nine months than any other US President since the Second World War
2021-10-23T20:49:28+00:00,"📀 Manufacturers have been unable to keep up with the soaring demand for old-school LPs, which has left even the world’s best-selling star having to wait in line"
2021-10-23T20:39:50+00:00,"📚  I’ve spoken at length before of my dislike of this ostensible presence of cultural appropriation, which can mean all you end up writing is memoir,  said Lionel Shriver 

 It’s basically anti-imagination"
2021-10-23T20:30:39+00:00,"Alec Baldwin occupies an almost unique position in Hollywood, seeming to be constantly on the edge of disaster and yet somehow surviving PR catastrophes that would fell others"
2021-10-23T20:21:36+00:00,"🇺🇸Mr Biden appeared to have disappointed voters more than Jimmy Carter, who saw his rating fall by 8.9 percent , and Donald Trump, whose rating fell by 4.4 percent"
