date,text
2022-06-11T19:12:57+00:00,"🗣️Sebastian Siemiatkowski, the billionaire founder of Klarna, said Europes politicians are  underestimating  the level of public support there would be for a full ban on Russian gas which would starve Putins war machine of funds"
2022-06-11T19:04:28+00:00,"Andrew Bailey has brought in consultants from The Storytellers, a London-based company, who will be handed £203,000 of taxpayer cash for four months work, according to official documents"
2022-06-11T18:55:31+00:00,"Plans are being discussed to issue baggage handlers and check-in staff with temporary visas similar to those issued to fruit pickers, musicians and religious figures"
2022-06-11T18:46:46+00:00,"📱Truphone is instead being sold to German-born entrepreneur Hakan Koc for the symbolic sum of $1, but insiders said a rival offer that would have given it a substantial cash boost was turned down"
2022-06-11T18:37:55+00:00,🔴Lawyers report an increase in the number of middle class professionals being charged with rape offences at festivals over the last decade
2022-06-11T18:29:25+00:00,"UK ministers agreed to meet with their Greek counterparts after Unesco demanded the parties find a  mutually acceptable solution  to the issue of the 2,500-year-old sculptures"
2022-06-11T18:22:12+00:00,🔴The guidance from the University of York’s language and linguistic science department lists a series of  content warnings  that are added to courses
2022-06-11T18:12:06+00:00,📖The book reveals Hunter Bidens daughters found out he was having an affair with his late brothers widow after reading his text messages
2022-06-11T18:03:03+00:00,🚗Petrol and diesel cars manufactured after March 2001 cannot have their classification for CO2 emissions changed under new Treasury rules
2022-06-11T17:52:58+00:00,"Going public could net private equity giant CVC a £1.7bn prize, along with increased scrutiny"
2022-06-11T17:22:20+00:00,🔴Ukrainian President Volodymyr Zelensky said on Saturday that his country will  definitely prevail in this war that Russia has started
2022-06-11T17:11:18+00:00,🔭Astronomers hope to launch telescopes into space to boost understanding of these mysterious celestial behemoths
2022-06-11T17:00:00+00:00,"✍️  This generation are attached to their keyboards, but we shouldnt put down our pens just yet.  | Writes Jan Masters"
2022-06-11T16:53:54+00:00,"👑Betting on the colour of the Queen’s hat at Royal Ascot has long been a popular pastime for racegoers.

However, it is feared that the tradition is all but over as the monarch’s presence can no longer be guaranteed"
2022-06-11T16:34:47+00:00,"🔴Police have warned that they are facing a  massive explosion in the volume of data  they are having to examine when investigating crimes, particularly in sexual assault cases, because of the growing digital footprint of victims and perpetrators"
2022-06-11T16:14:08+00:00,"🔴Peter Weinzierl, former CEO of Meinl Bank, is facing extradition to New York after being arrested in the UK in May 2021"
2022-06-11T16:03:20+00:00,"🔴A major NHS trust is awarding companies vying for healthcare contracts higher marks if they adopt Stonewall’s transgender ideology, a whistleblower has claimed"
2022-06-11T15:53:08+00:00,"Before the Premiership play-offs begin, Telegraph Sport sits down with chiefs Steve Borthwick, Chris Boyd, Mark McCall and Tabai Matson"
2022-06-11T15:43:19+00:00,Billionaire has the nous to awaken the sleeping giant and drag it into the 21st century
2022-06-11T15:33:24+00:00,"⚡️After What Not To Wear ended, Trinny Woodall faced money worries and the dramatic death of her ex-husband. So how did she turn it all around?"
2022-06-11T15:29:37+00:00,"🛍️ Unlike Cinderella, Woodall’s isn’t a rags to riches tale, but a riches to rags to riches one. 

Read more about @trinnywoodall’s success with @trinnylondon here👇"
2022-06-11T15:26:59+00:00,"🗣️ When that ran out, I sold some more clothes, then sold my house, because I couldn’t afford the mortgage. It did take balls – it was very scary. But I knew I had no alternative. Nobody becomes a great entrepreneur from a place of comfort"
2022-06-11T15:26:57+00:00,"🔴But before the business took off Woodall had to make sacrifices for the business 

 I couldn’t afford to live in the house I was living in, so I rented it out, and sold quite a few of my clothes"
2022-06-11T15:26:55+00:00,"🗣️ What helped us a lot is that women didn’t want to stop buying things to make them feel better... having that time was so very precious. You needed that time just to do something for you. That’s what I was doing,  says Woodall"
2022-06-11T15:26:54+00:00,"🛍️At the start of the pandemic, the company employed 68 people; now, it employs 200. 

It sells 187 products in 200 countries, with the £26 Miracle Blur primer selling every 60 seconds. 

Skincare was only launched in February, but already accounts for almost a third of sales"
2022-06-11T15:26:53+00:00,"📈Lockdown might have spelt disaster for many businesses, but not Woodall’s.

Between March 2020 to January 2021, the brand grew by 280 percent , delivering £44 million in gross revenue in the year to March 2021"
2022-06-11T15:26:53+00:00,"🚶‍♀️ Woodall eschews using models on her website in favour of featuring real’ women of all ages, including 40s to 80s.  

 Her fans, known as Trinny’s Tribe’, lap up her honesty, and love that she’ll talk as openly about her bowel movements as she will about her blusher"
2022-06-11T15:26:51+00:00,"🛍️Launched in 2017, Trinny London’s success is down to an alchemical mix of clever products and innovative tech, all driven by its charismatic founder whose enthusiastic social media presence is a powerful driver of sales"
2022-06-11T15:26:50+00:00,"👉 Like Belle, she is clad in yellow. Like Rapunzel, she has really good hair. Like Snow White, she has lips as red as a rose. 

 Unlike those hapless three, she doesn’t need to be rescued. For Woodall is her own heroine and the skilled author of her own fairy tale"
