date,text
2022-03-02T14:46:55+00:00,✍️  Putin has misjudged the resistance of both the Ukrainians and world opinion  | Writes Jonathan Shaw
2022-03-04T10:09:57+00:00,"🔴The Government should seize the mansions of Russian oligarchs and use them to house Ukrainian refugees in the UK, Dominic Raab has said"
2022-03-04T23:44:11+00:00,Sky News reporter Stuart Ramsay was shot and wounded alongside members of his team in Kyiv
2022-03-02T10:44:09+00:00,⚡️Exclusive: Roman Abramovich puts Chelsea up for sale
2022-03-02T14:23:47+00:00,🔴The Ukrainian ambassador received a standing ovation in Commons
2022-03-06T17:40:54+00:00,"🔴 Staff at Ukraines Zaporizhzhia nuclear power plant continue to operate the facility, but management is now under the orders of the commander of the Russian forces that seized it last week, the UN nuclear watchdog said today."
2022-03-08T18:00:01+00:00,🇺🇦Last year they took to the streets of Kyiv calling for gender equality – this International Women’s Day they are repelling an invasion
2022-03-08T00:12:18+00:00,"Princess Diana, the Duchess of Cambridge and the Queen have all been fans of the houndstooth check"
2022-03-07T16:04:49+00:00,📽️A Ukrainian child sheltering in a bunker has received attention from Broadway star Idina Menzel after a video of her singing Let It Go went viral
2022-03-07T11:03:13+00:00,Read @colinfreeman99s  dispatch from Irpin here 👇
2022-03-11T00:17:23+00:00,"🔴The daughter of Sergei Lavrov’s mistress should be among the family members of Vladimir Putin’s cronies targeted with sanctions, MPs and campaigners have said"
2022-03-10T10:25:25+00:00,This lesson does not appear to have been learnt by the Russians
2022-03-12T10:31:46+00:00,"🇺🇦Armoured units have also been seen pouring into towns near the Hostomel military airport north-west of Kyiv...

...apparently reinforcing Russian positions in the nearby satellite towns of Bucha and Irpin"
2022-03-11T08:22:17+00:00,🔴The British public will be asked to offer homes to tens of thousands of Ukrainians fleeing the Russian invasion under plans to be announced this weekend
2022-03-15T20:31:10+00:00,"🇺🇦 Around 29,000 people were evacuated from various cities in Ukraine through humanitarian corridors on Tuesday"
2022-03-15T18:20:57+00:00,🔵 A Christian couple have offered up an entire home to a family of Ukrainian refugees but cannot yet find a match - as they branded the Government’s scheme a  minefield
2022-03-15T18:14:54+00:00,"🇺🇦 Russians are rounding up civilians, robbing homes and post offices, locals have told the Telegraph,  writes @VerityBowman on the Ukrainian city of Kherson"
2022-03-15T17:35:06+00:00,Read Eleanor Halls review of 29-year-old Ghanaian pop singer Bree Runway at Electric Brixton 👇
2022-03-15T15:53:12+00:00,"ICYMI: Listen back to our daily Ukraine Twitter Space 

🎙️@djknowles22 was joined by @Val_Voshchevska, @theo_merz, @SheridanDani and @DomNicholls 

Listen here 👇"
2022-03-15T13:37:48+00:00,"✍️ Men wanted to be him [Zelensky], women wanted to be with him, with the caveat that they would prefer not to be under constant bombardment  writes @edcumming"
2022-03-15T13:12:01+00:00,Here is the Ukraine-Russia lunchtime briefing👇
